event_id,date,season,home_team,away_team_espn_id,home_n_prior,away_n_prior,home_days_rest,away_days_rest,home_b2b,away_b2b,home_off_rtg,away_off_rtg,home_def_rtg,away_def_rtg,home_net_rtg,away_net_rtg,home_pace,away_pace,home_efg_pct,away_efg_pct,home_ts_pct,away_ts_pct,home_tov_pct,away_tov_pct,home_oreb_pct,away_oreb_pct,home_dreb_pct,away_dreb_pct,home_ast_pct,away_ast_pct,home_fast_break_pts,away_fast_break_pts,home_points_in_paint,away_points_in_paint,baseline_home_points,baseline_away_points,baseline_total_points,baseline_home_margin,label_home_points,label_away_points,label_total_points,label_home_margin,label_home_win
401810021,2025-11-05T01:00Z,2026,ATL,19,7,7,3,4,0,0,110.92800442644489,112.41565539976715,113.6441196317703,112.01270243600142,-2.7161152053254063,0.4029529637657251,103.91428571428571,104.15714285714286,0.5362006176283157,0.5409134869648808,0.5734214398140229,0.5850845209520629,0.13158655595038843,0.1603218942539442,0.23108362024315937,0.28089075581565764,0.7004261311190031,0.7428831300411848,0.6736531470210565,0.5674815240503553,17.0,19.0,56.857142857142854,56.0,115.9689784089832,117.59145083336938,233.5604292423526,-1.6224724243861743,127.0,112.0,239.0,15.0,1
401809512,2025-11-08T00:30Z,2026,ATL,28,8,8,3,3,0,0,112.62572936333535,116.90956048609597,113.16409487387745,114.58593056771062,-0.5383655105420835,2.323629918385347,103.675,103.0,0.5499047070914429,0.574868883697233,0.589470329244874,0.6068716427099901,0.1396480403781585,0.1454092355885793,0.22492544044003718,0.22138498327813919,0.6962061980624611,0.7212655156697297,0.6613215036434245,0.6912109561507402,17.75,19.75,55.5,52.75,117.39742454062234,118.87618180380629,236.27360634442863,-1.478757263183951,97.0,109.0,206.0,-12.0,0
401810040,2025-11-09T01:00Z,2026,ATL,13,9,9,1,3,1,0,110.56547211863239,117.44256009415913,112.33726204545115,114.29508829130535,-1.7717899268187418,3.1474718028537847,103.61111111111111,102.05555555555556,0.5322069618590604,0.5833664690250622,0.5747547123965826,0.6270347871020717,0.14460793588091944,0.16393775809733335,0.2390283750413499,0.23971431728479167,0.6998684723518173,0.7203929796944047,0.6686494173800137,0.6252361427361428,17.0,11.555555555555555,54.0,55.333333333333336,112.14733066645302,118.14512521678296,230.29245588323596,-5.997794550329942,122.0,102.0,224.0,20.0,1
401810106,2025-11-19T00:30Z,2026,ATL,8,10,14,2,1,0,1,115.93267463690549,118.89411563027343,107.44262003844342,108.29126916614129,8.49005459846208,10.602846464132131,103.0,101.74754716981133,0.578526049328552,0.5628035453580753,0.6143459789443521,0.5948046701771819,0.15312128492489613,0.13974213836806254,0.23033657954285172,0.3053935468428551,0.7099592492166553,0.7250294313323721,0.7336293087455761,0.6157758978890004,21.1,17.6,53.2,61.2,114.77325627603862,112.37908679678495,227.15234307282356,2.3941694792536765,112.0,120.0,232.0,-8.0,0
401810131,2025-11-23T23:00Z,2026,ATL,30,10,16,0,1,1,1,116.72210993146909,113.00048039649803,109.8438274371014,117.82817208066535,6.878282494367689,-4.8276916841673385,102.15,99.84622641509434,0.5909288062184458,0.5258760605071726,0.6223676537446657,0.5724926541229858,0.15552264404647453,0.15951536365159477,0.21621612635263115,0.3072617214220002,0.7228409896649045,0.7644940381897226,0.7297115878110485,0.6326866660095929,17.8,10.7,48.6,48.4,114.8923092872898,109.15824495664152,224.05055424393134,5.73406433064828,113.0,110.0,223.0,3.0,1
401809811,2025-11-29T00:30Z,2026,ATL,5,10,19,3,4,0,0,117.18746513222068,113.63227487218983,112.14058240410934,110.87407186220294,5.046882728111345,2.7582030099869086,101.9,102.52943396226415,0.59593537311646,0.5453052081459129,0.6194834023847895,0.576864361253477,0.14489144619681943,0.13075176050518636,0.2173945775310823,0.237922639677458,0.7415909896649046,0.7516451616684112,0.7473396122413986,0.6350223205411221,17.9,13.1,52.0,48.2,116.55622729083498,115.38654354259224,231.94277083342723,1.169683748242747,130.0,123.0,253.0,7.0,1
401810182,2025-12-04T00:30Z,2026,ATL,12,10,21,2,2,0,0,114.41365624033183,112.20373066212838,113.5619461183546,119.08939442598606,0.8517101219772399,-6.885663763857693,103.11793103448277,101.03379310344829,0.5805627139599545,0.5275427041849281,0.6041728137678621,0.5844991645570349,0.14762621957835814,0.14798320427762743,0.21854537581281766,0.21182375377700646,0.724982145810401,0.7434389066101285,0.726647256351674,0.5719776819324476,17.6,14.3,52.4,49.0,119.17512596248868,115.22613041475617,234.40125637724486,3.9489955477325083,92.0,115.0,207.0,-23.0,0
401810195,2025-12-06T00:30Z,2026,ATL,7,10,21,2,2,0,0,111.72161745487958,125.62864549224636,114.13823585835412,121.12708650665058,-2.4166184034745415,4.501558985595774,101.98793103448277,100.16999999999999,0.5637653283390394,0.6078559221564148,0.5884216641478759,0.6441877804669034,0.14748751266419338,0.13613047254478575,0.21267416369160555,0.27583565125247994,0.724603357931613,0.7408390887828428,0.7072099161982214,0.6616159059909886,16.8,14.4,52.4,49.0,117.68053059230927,121.17694166106926,238.85747225337855,-3.496411068759997,133.0,134.0,267.0,-1.0,0
401836798,2025-12-14T23:00Z,2026,ATL,20,10,24,1,1,1,1,112.78691551034578,110.21938922244085,114.93640173269765,109.52732293301308,-2.149486222351856,0.6920662894277644,102.51793103448276,101.37679895901105,0.552028295958029,0.5129069943615747,0.5821127232620988,0.5588378659200589,0.1436607521761356,0.137429739438215,0.24498125163822837,0.24499668781770825,0.7473575041439194,0.7520801465455194,0.7068523372692139,0.6169515511224308,18.3,16.4,53.4,47.4,109.9221014312108,111.32709206792853,221.24919349913932,-1.4049906367177272,120.0,117.0,237.0,3.0,1
401810238,2025-12-20T00:30Z,2026,ATL,24,10,27,1,1,1,1,112.65964299005391,118.62810939427246,117.24263137461314,116.942558388104,-4.582988384559234,1.685551006168422,104.16793103448276,102.69000000000001,0.550595055285658,0.5496764672625158,0.5834159210786088,0.5889791799406872,0.15753125434180767,0.12306529646845377,0.2584027974127153,0.25922782331209887,0.745034271820687,0.7397103311124597,0.7104020788712812,0.5955268992291219,18.3,14.9,53.2,47.6,115.17546311976741,118.31995356052957,233.49541668029698,-3.144490440762155,98.0,126.0,224.0,-28.0,0
